problem_no,size,jobs,machines,ops,integer_vars,non_integer_vars,constraints,cmax,mip_gap,cpu_time_s,status
mfjs01,5.3.6,5,6,15,109,16,182,468.0,0.0,0.13178086280822754,2
mfjs02,5.3.7,5,7,15,135,16,222,446.0,0.0,0.09529805183410645,2
mfjs03,6.3.7,6,7,18,200,19,340,466.0,0.0,0.24906492233276367,2
mfjs04,7.3.7,7,7,21,261,22,452,553.9999999444999,0.0,0.5739049911499023,2
mfjs05,7.3.7,7,7,21,255,22,442,514.0,0.0,0.531005859375,2
mfjs06,8.3.7,8,7,24,321,25,566,633.9999999364999,0.0,0.833355188369751,2
mfjs07,8.4.7,8,7,32,508,33,924,879.0,0.0,5.449002027511597,2
mfjs08,9.4.8,9,8,36,547,37,994,884.0,0.0,601.5495119094849,2
mfjs09,11.4.8,11,8,44,783,45,1448,1069.9999998928997,0.110280373742721,3600.0381050109863,9
mfjs10,12.4.8,12,8,48,935,49,1742,1208.0,0.16473509933774835,3600.0114250183105,9
sfjs01,2.2.2,2,2,4,20,5,32,66.0,0.0,0.049157142639160156,2
sfjs02,2.2.2,2,2,4,12,5,20,107.0,0.0,0.0013890266418457031,2
sfjs03,3.2.2,3,2,6,30,7,52,221.0,0.0,0.047898054122924805,2
sfjs04,3.2.2,3,2,6,31,7,54,355.0,0.0,0.006850004196166992,2
sfjs05,3.2.2,3,2,6,42,7,72,119.0,0.0,0.07796597480773926,2
sfjs06,3.3.3,3,3,9,46,10,80,320.0,0.0,0.011152029037475586,2
sfjs07,3.3.5,3,5,9,42,10,66,397.0,0.0,0.0014939308166503906,2
sfjs08,3.3.4,3,4,9,51,10,84,253.0,0.0,0.011153936386108398,2
sfjs09,3.3.3,3,3,9,66,10,114,210.0,0.0,0.011390924453735352,2
sfjs10,4.3.5,4,5,12,50,13,84,516.0,0.0,0.004625797271728516,2
